"jobs_title","jobs_requirements"
"Manager Information Services Clinical Applications - WellMed - San Antonio, TX - 656779","Bachelor’s degree in Finance, Business Administration, Computer Science or related field -or- 8 additional years of experience beyond the required years of experience may be substituted in lieu of a bachelor’s degree
5+ years of experience in r or more years of building, managing and supporting IT applications in a mid to large size business environment
5+ years of experience in developing requirements and performing system analysis
1+ years of experience managing a cross-functional team in a highly complex environment
Experience with various system development lifecycles such as waterfall, RUP, and agile methods
Ability to transform complex technical topics into understandable concepts for business users and ability to communicate business requirements to a technical audience
Excellent analytical and problem solving abilities
Ability to effectively prioritize & multi-task in high volume workload situations
Strong verbal and written communication skills, with the ability to interface effectively with all levels of staff, including sales agents, internal \ external customers and senior management teams
Proficiency with Microsoft Office applications to include Word, Excel, PowerPoint, & Outlook"
"Technology Support Analyst - Elkridge, MD - 661893","Bachelor's Degree or High School Diploma/GED and 1+ years of experience in a Technical Support role
Experience in a call center environment or equivalent
1+ year of experience in Technical Support (preferably in a help desk) with experience with resetting passwords and verifying permissions
Must be willing and able to work a shifts ranging in start time from 8am Eastern to 10am Eastern, after successfully completing training (approx. 8 to 10 weeks)"
".NET Application Developer - 662612",""
"Manager IT Quality - Eden Prairie, MN - 660865","Undergraduate degree in Computer related field
5+ years of experience as a QE manager
10+ years QE experience
2+ years of experience with Agile
2+ years of experience with test automation
2+ years of experience with performance testing"
"OpenShift Support Engineer - Minneapolis, MN - 660742","Hands on experience with Red Hat OpenShift OR professional experience supporting Middleware technologies, such as JBOSS or Websphere.
Professional experience with UNIX and/or Windows
Willing and able to work in a rotational 24x7 on call support environment"
"Director of Technical Architecture, Military & Veterans - MN - 657292","10+ years of overall business / technology experience
3+ years of consulting experience at the intersection of Business and IT Strategy
5+ years of experience in software design and development
3+ years of experience defending ideas and solutions to technology professionals with potential contrary views
5+ years of experience with recent enterprise-wide solutions, processes, enabling technologies and knowledge of how IT supports those solutions
7+ years of experience with broad systems architecture design, planning and implementation
5+ years of experience with technology modeling skills, including application, data and technology
5+ years of experience with strategic planning and application/technology road mapping
United States Citizenship
Ability to obtain favorable adjudication following submission of Department of Defense eQuip Form SF86"
"EDW Service Coordinator - Eden Prairie, MN - 656188","Bachelor's Degree or equivalent work experience
3+ years of experience in Systems Analysis or IT Development
3+ years of experience translating business requirements into a detailed system specification
3+ years of Relational Database experience
Proficiency with MS Project, Word, Excel, Visio, PowerPoint"
"Java Software Engineer - Eden Prairie, MN - 650389","5+ years of full Software Development Life Cycle experience
5+ years of experience working as a Java developer
5+ years of experience developing applications using databases such as Oracle or SQL Server
Hands-on experience with Java, Spring, Eclipse, Hibernate, and JUnit
Experience designing applications for scalability and high concurrent performance"
"Senior Java Software Engineer - Eden Prairie, MN - 640579","4+ years Java experience
2 years or more of JSP, Servlets, Struts 1.x , Spring experience
2 years or more of Websphere experience
Ability to participate in 6:00am CST daily stand-up calls with off-shore development team (calls can be made from home prior to coming into the office)"
"DevOps Build Engineer - Eden Prairie, MN - 646514","4 or more years of supporting software releases
4 or more years of managing environment (Linux) changes and code deployments
2 or more years of Continuous Integration experience
4 or more years of software development and deployment
Advanced Middleware/Infrastructure design and implementation knowledge of Service Oriented Architecture enabled, multi-tier J2EE applications
Extensive experience with performance tuning of JVM, EJB's and data sources
Well versed with SSL Certs maintenance and SSO authentication methodology"
"Senior Reporting Analyst - San Antonio, TX - 656989","Bachelor’s degree in Business, Healthcare Administration, Information Technology or related field -OR- 4 additional years of comparable work experience beyond the required years may be substituted in lieu of a bachelor’s degree
4+ years of experience in a reporting and analytic role
Proficient in SQL, SQL Reporting Services, ODBC, MS Access, and MS Excel and/or equivalent data capture/reporting tools
Excellent analytical and problem solving capabilities with special attention to accuracy and details
Self-starter with a proven ability to take ownership of job responsibilities and ensure successful completion of all projects and requests
Strong verbal and written communication skills, with the ability to interface effectively with all levels of management, including executive and senior management teams
Ability to effectively prioritize and multi-task in high volume workload situations"
"IT Quality / Data Analytics Analyst - Telecommute - 651953","3+ years’ experience as an IT Quality Assurance Analyst
3+ years of experience with the System Development Life Cycle (SDLC) process
1+ years’ experience in Healthcare Revenue Services, Health IT and / or Healthcare Financial Analytics
3+ years’ experience managing multiple concurrent projects
Must be willing and able to travel up to 25% of the time
Bachelor’s Degree or higher
Strong Proficiency in MS Office (Excel, Outlook, Word, PowerPoint)
Advanced Excel skills
Pivot tables and charts
Conditional formatting
Formulas
V-Lookups"
"Mobile Applications Systems Analyst - Eden Prairie, MN - 650438","2+ years of mobile application development or systems analysis
3+ years of defining, gathering, and writing business requirements
Candidates must have experience of complex, backend system integration and data integration for mobile application development.
Candidates must have knowledge of different mobile application development methods in a fast-paced development environment
Working knowledge for web service API and systems integration
Candidates must have strong communication skills to clarify requirements and resolve ambiguity for developers with appropriate UML diagrams, technical documentation, and user stories with detailed acceptance criteria, which could be mapped to ATDD scripts by QA associates
Must be able to work early morning hours to coordinate with offshore teams"
"IT Systems Analyst Consultant - Eden Prairie, MN - 649554","Bachelor's Degree or equivalent work experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) / System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface"
"Lead Java Developer - Boston, MA - 657186","6+ years of Java / J2EE experience
Strong hands-on experience with Java EE or spring framework
Strong experience of one or more ORM technologies (like Hibernate, JPA, or similar)
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design"
"IT Incident Manager - Schaumburg, IL - 649354","10+ years of related network / infrastructure experience
Demonstrated incident management experience in a large-scale, multi-platform environment, supporting 24x7 operations
Must be willing and able to be on call 24/7 periodically – typically one week every two months
3+ years of leadership in IT control center(s), leading multiple-discipline teams in resolving critical large-scale infrastructure outages
Strong interpersonal skills with a proven / successful track record of building cohesive IT Incident teams
Strong fault finding / diagnostic / trouble-shooting skills"
"Pega Solutions Architect - Multiple Locations - 653682","Has an understanding of the supporting tools available to Architects such as the Pega PDN. Must have working knowledge of how to search for documentation on different topics and how to open a support ticket at Pega.
Has a clear understanding of Pega’s Frameworks and their offerings.
Demonstrates an understanding of both the business process(es) and the technical application of the Framework(s) worked on.
Supports Performance Testing activities
Ensures that systems are built for change, are reusable, and maintainable.
Participates in RSA and Project Initiation phase to provide design and estimation guidance.
Has hands-on experience with DCO (Direct Capture Objectives) and able to run Application Profile (AP), Application Accelerator (AA) and document generation.
Leads the technical team in gathering and understanding requirements, and use cases
LSAs architect the technical solution, and lead the technical team in elaboration and construction activities.
Provides knowledge transfer to the system architects
Implements integrations between systems and develops automated activities
Collaborates with BPM COE resources as necessary, enabling communication and information exchange between the project team and COE resources.
On a regular basis, keeps COE EL in the loop on critical project issues (process, people, technology)"
"IT Back-up Administrator - Plymouth, MN - 661320","Bachelor's Degree
Experience with batch file scripting (shell or object-oriented)
Experience with Exchange TDP, DB2, Oracle, SQL, Database products, etc.
Experience with Windows Server and VMware administration
Experience/solid knowledge of distributed systems backup, archive and disaster recover technologies, methods, and practices
Relational Databases Backup experience
Data management for SOX and HIPAA Compliance experience
Working knowledge and hands on experience using reporting tools Metrics / Statistics experience
Experience/Knowledge of de-duplication and virtual tapes
Experience/Knowledge of Cloud and Self Service automation
Disaster Recovery and Business Continuance Planning experience"
"Java Applications Developer - Eden Prairie, MN - 659906","Bachelors degree or equivalent experience
5+ years of full Software Development Life Cycle experience
5+ years of experience working as a Java Developer
1+ years of development experience in an Agile environment
Experience with Java (1.6, 1.7) including JEE6, Servlet 3.0 and JMS
Experience with Spring Framework/suite (at least 3.0, 3.2.x) including Spring Batch, Spring MVC, and Sprint JMS
Experience working in an Agile environment
Unix*/Linux*/Windows OS (*preferred)
Unix shell scripting (e.g. bash, ksh)
Apache projects: CXF, Tomcat, etc.
SOAP
RESTful Services
JSON
JQuery
XML: XPATH, XSLT, XQUERY, XSD (Schema), etc.
Java app servers: Websphere, JBOSS
Build tools: Maven, Ant, Gradle, Jenkins"
"QA Automation Engineer - 659091","SQL knowledge
Webservices testing
Web testing experience
Automation experience
Selenium WebDriver
Agile experience"
"Vice President, Software Engineering - Multiple Locations - 660440","BS / BA in Engineering, Computer Science or equivalent education / experience
15 + years of software product development experience working on commercially available software and / or Healthcare platforms
8+ years of management experience, delivering successful innovate software products
5+ years managing Agile software development
Demonstrated experience in building high performing teams including the hiring and developing of great people
Ability to establish repeatable processes, best practices and implement version control software in a team environment
Proven and accomplished individual with excellent leadership and strategic management skills
Excellent collaboration skills and techniques to create innovative market leading solutions
Excellent time management, communication, decision making, and presentation
Experience working with vendors in system selection, cost negotiation, and the development of service level agreements
Display a strong desire to achieve and attain high levels of both internal and external customer satisfaction
Global team experience"
".Net Developer - Minnetonka or Plymouth, MN - 659921","4+ years combined experience with .NET design and coding
Experience working with the Windows Server, IIS, RDBMS (ex. SQLServer, Oracle, DB2, MySQL)
Experience with ASP.NET (MVC and/or WebForms)
HTML, CSS, JavaScript experience
Experience writing and consuming web services"
"IT Quality Analyst - Eden Prairie, MN - 662288","Coordinating and executing user acceptance testing for new products and client configurations, analyzing and reporting results.
Understanding product or client requirements, coordinating amongst various impacted functional groups and testing teams.
Conducting detailed testing in multiple browsers across web platforms and devices, and analyzing/sharing results.
Defect logging, triaging and reporting.
Supporting risk management projects by providing quantitative analysis.
Performing root cause analysis and mitigating risk."
"Applications Developer - Eden Prairie, MN - 661803",""
"Technology Principal Senior Engineer - 662610",""
"IT Business / Systems Analyst - Las Vegas, NV - 661731","1+ year of professional experience as an IT System Analyst
1+ year or professional experience working with all aspects of the System Development Life Cycle
1+ year of professional experience with data gathering / analysis and writing system requirements
Professional experience working with test plans and test cases
Professional experience facilitating Joint Application Design (JAD) sessions"
"IT Program Manager - Optum Technology Commercial Services - Telecommute - 661521","10+ years of project management experience
5+ years leading projects in a client-facing environment
Proven track record of managing complex technology projects and releases successfully
Successful track record of delivering programs on scope, on time, on budget, on quality and on benefit
Experience in working through complex issues and providing alternative solutions, with IT organizational and cross-functional awareness
Excellent written and verbal communication and presentation, collaboration, and relationship management skills
Ability to communicate technology matters to clients, business partners, senior executives, and strategic partners
Successful in obtaining results in a large corporate, matrixed environment
Demonstrated experience using MS Project, Excel, Visio, PowerPoint and SharePoint
Excellent time management, organizational, and prioritization skills and ability to balance multiple priorities
Willingness and ability to travel up to 75% of the time when required
PMP Certification"
"IT Architecture Consultant - Basking Ridge, NJ and Horsham, PA - 651460","Bachelor's degree or equivalent work experience
Full-lifecycle development experience with Java server side application technologies
Skilled in IOC Container and Spring frameworks (3.0.x or greater)
Solid grasp of relational database modeling and design
Experience with JUnit and test-driven development
Hands-on familiarity with SOAP and RESTful web service architecture and development
Strong experience with LDAP/database and proficiency with Spring Security, Spring ORM and Spring AOP
Experience with CXF
Experience developing/integrating identity and access management applications
Hands-on experience testing with mocking frameworks (preferably, but not limited to, Mockito)
Proficiency with architectural design tools such as Enterprise Architect, Microsoft Visio
Facility with discussing and explaining solutions with other development teams, architects and executives
Familiarity with SDLC process and ability to design solutions with Class, State and Sequence diagrams"
"Software Engineer Consultant - Eden Prairie, MN - 660606","8+ years of full-lifecycle development experience with CORE JAVA
5+ years of JSP
5+ years of experience in Big Data technology (eg: Core MAP Reduce, Cascading and if possible Hive and Pig, HBASE, Cascading Driven )
5+ years of experience in webserver JBOSS
5+ years of relational database modeling and design experience mainly Oracle/MY SQL /SQL
5+ years of experience with JUnit and test-driven development
3+ years of recent experience with SOAP and RESTful web service architecture and development
3+ years of experience with architectural design tools such as Enterprise Architect
3+ years of experience with the SDLC process and ability to design solutions with Class, State and Sequence diagrams
Excellent Communications skills
Extensive experience in Agile (Certified SCM is a Plus)"
"Senior Data Anaylst - Franklin, TN - 657837","3+ years of proven experience as a Data Analyst
3+ Professional IT experience in a large, enterprise environment
3+ years of SQL experience
Must possess excellent written and verbal communication skills and be able to successfully communicate and present ideas to colleagues, clients and senior management"
"Senior API Solution Architect - Multiple Locations - 654142","Bachelor's degree in Computer Science or similar technical discipline
5+ years in API Design OR Enterprise Application Integration (EAI) OR Service Oriented Architecture (SOA)
5+ years’ experience in Application Design and Development"
"Build/Release Engineer - Eden Prairie, MN - 652323","Demonstrated extensive experience triaging and debugging production issues
Demonstrated experience in a Test Driven Development environment
Demonstrated experience working in various testing frameworks (Cucumber, Selenium, SpeckFlow, NUnit, or equivalent)
Demonstrated experience managing Continuous Integration tools (Xebia Labs, Jenkins, Chef, or equivalent)
Demonstrated experience implementing RESTful services"
"Manager IT - Minnetonka, MN - 659540","Bachelor's degree or higher level of education or equivalent experience
4+ years of IT project management experience
4+ years of business analysis experience
Experience with IT Systems Cost Management"
"IT Systems Analyst II - Las Vegas, NV - 655929","Proven knowledge and experience with computer applications/systems utilized in a healthcare organization
1+ year of professional experience in clinical information systems support or as a department subject matter expert
Understanding of clinical work flow in both inpatient and outpatient setting
Ability to facilitate design and refresh training curriculum within the framework of technical boundaries
Experience and ability to provide training to new and existing users utilizing adult learning principles
Experience documenting workflows
Basic level experience with Microsoft tools, including Word, Excel and Visio"
"Data Architect (ERwin / ER/Studio) - Minneotnka, MN - 661894","Undergraduate degree in applicable area of expertise or equivalent work experience
Minimum of 5 years of experience in Data Architecture and Database design
Minimum of 5 or more years of data modeling experience
Minimum of 3 years of experience as an Enterprise Information Architect experience
Minimum of 3 years of experience in building complex, large scale logical data models with ERwin or E/R Studio
3+ years of experience with database technologies (e.g. Oracle, DB2, SQLServer)"
"Senior Systems Administrator - Plymouth, MN - 657877",""
"Technical Support Analyst - Falls Church, VA - 655279",""
"Program Quality Engineering Lead - Eden Prairie, MN - 658732","Undergraduate degree or equivalent experience
5+ years working on a development team
3+ years working with test planning and test execution
Experience working with test automation"
"Java Developer - Production Support - Basking Ridge, NJ - 659792","Bachelor’s Degree or higher preferred
Knowledge of ITIL methodology
Health care industry experience
Experience in Flash Builder
Service Management Tools experience (like HPSM, BSM, HP Perf Mgr etc.)
Experience with Dynatrace
Experience with IBM Initiate/MDM Product
Data stage experience will be plus
Experience with MS Office Suite
Experience with standard SDLC and quality processes"
"Senior IT Architecture Analyst - Minnetonka, MN - 658811","5+ years of Information Technology Architecture Analysis experience
5+ years of development experience including full life cycle activities
Experience with Agile methodology
Solid understanding of industry patterns for application architecture and integration
5+ years of experience building multi-tier applications using (applicable skill set such as Java, .NET, etc.)"
"IT Operations Service Manager, Solutions Support & Maintenance Operations - Eden Prairie, MN - 661873","5+ years of application development or support experience in a large enterprise environment involving distributed applications
2+ years of experience leading teams and/or managing workloads for team members
Experiences leading distributed teams
Ability and willingness to hold on-call responsibilities to respond to system issues 24x7x365 (critical business applications – but applications are stable and currently issues occur a couple times a month outside of normal working hours)
Experience leading development and/or support for large, critical applications
Experience with Oracle and/or SQL Server databases"
"Sr. IT Project Manager - Schaumburg, IL - 658084","Bachelor's degree or higher is required
10+ years of experience leading cross-application IT projects or programs successfully
2+ years of experience in developing products using Agile delivery techniques (e.g. Scrum)
Career experience in managing delivery of technology projects
Very strong understanding of distributed technologies & architecture"
"Senior IT Audit Accountant - WellMed - San Antonio, TX - 657749","Bachelor’s degree in Accounting or a related field
2+ years of accounting, auditing, or information technology experience
Possess problem solving/analytical skills
Knowledge of research techniques for analyzing data and presenting recommendations
Intermediate level of proficiency with MS Word, Excel and PowerPoint
Project management skills
Demonstrated strong written and oral communication skills to be able to interact with all levels within an organization"
"Sr. QA Engineer - Boston, MA - 643774","5+ years of experience working as a Senior Quality Engineer
8+ years of Quality Assurance/Testing experience
2+ years of experience using ALM/Quality Center or an equivalent enterprise testing suite
2+ years of experience designing and implementing test strategies and plans"
"Mgr Software Engineering - Sacramento, CA - 656860","Five-plus years of experience writing design/mapping specifications for ETL development using IBM InfoSphere DataStage to design ETL jobs (or similar product)
Five-plus years’ experience in using SQL
Experience in using XML Stage in InfoSphere DataStage.
Two years of experience as an ETL / Technical Lead
Must have four (4) years of experience managing large-scale information technology projects.
Ability to follow plan for assessing and improving the quality and reliability of data in the data warehouse; update the plan when requested by client; implement a process for improvement; and monitor the quality of the data submitted each month, with special emphasis on Managed Care encounter data, or other areas identified by client on an ongoing basis
Must have a minimum of five (5) years of experience as a Data Base Administrator (DBA) or similar responsibilities; at least three (3) years of said experience must have been at a high level both technically and in measure of responsibility. (this could be an ETL Lead, instead of a DBA)
Must have understanding of information technology fundamentals, architecture, and the system development life cycle.
Must have the ability to reason logically and creatively, and use a variety of analytical and research techniques to solve complex problems; analyze situations and propose an effective course of action; analyze data; identify the need for and provide creative thinking related to complex problems, develop and evaluate alternatives.
Must communicate effectively both verbally and in writing with a variety of audience types using different mechanisms including informal updates, formal presentations, business case documents, and other analytical and technical documents.
Bachelor’s Degree in Computer Science, Information technology (or related fields) from an accredited college or university or equivalent work experience.
Must be a certified Project Management Professional by the Project Management Institute; or will become PMP certified within one year of their application.
At least two (2) years of demonstrated experience using Microsoft Office (2007) or later developing technical specifications.
The physical office is within fifteen (15) miles of the client headquarters to support the client’s end-users. Our office location is 9300 Tech Center Drive Suite 200 Sacramento, CA 95827 (CA048). No tele-commuting. May be required to travel to client office in downtown Sacramento for meetings.
This position is designated under client’s Conflict of Interest Code and will be required to complete and submit to FPPC Form 700, Statement of Economic Interest on an annual basis. This disclosure may include all investments, business positions, interests in real property, and sources of income. For further information, refer to the Fair Political Practices Commission website at http://www.fppc.ca.gov."
"Manager IT Infrastructure - 652183",""
"TWS Architect - 658779",""
"Director of IT - Eden Prairie, MN - 660802","4+ years of experience as a development or leading a team of SA's and Java developers
7+ years Java/J2EE experience
Strong hands-on experience with Java EE or spring framework *Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design
Excellent analytical and creative problem solving skills
Independent/go-getter attitude to keep yourself well-versed with new evolving technologies in application development landscape and be able to define how some of them can help in improving the work you are a part of now or in future"
"Cobol Application Developer - 650632",""
"IT Service Coordinator - Eden Prairie, MN - 657372","3+ years of experience working on 24x7 support function
3+ years of experience in developing or supporting IT applications in a commercial environment
1+ year working as a team lead or a sub-team lead in an IT support function
Knowledge of Agile Methodologies"
"IT Systems Analyst II - Rye Brook, NY - 652464","TeleHealth experience
ICUE system experience
Agile Environment experience"
"Solution Architect - Multiple Locations - 657112","5+ years in the software engineering and/or health care profession
5+ years’ experience in a client facing role, gathering and documenting technical requirements
5+ years’ experience with data analysis (using Excel, Access, SQL and/or Oracle)
Experience working with customers and their data both internally and externally
Previous experience with implementation, business analyst and support of customers
Bachelor's Degree or HS Diploma/GED with 4+ years of equivalent work experience"
"IT Architecture Consultant - 658975",""
"HEDIS / IT Manager - Telecommute - 655110","Bachelor's degree or higher level of education or equivalent experience
4+ years experience as an IT Manager
Healthcare Effectiveness Data Information Set (HEDIS) experience is required
4+ years of business analysis experience
4+ years experience working with SDLC development projects"
"Mainframe Support Developer - Basking Ridge, NJ - 650840","3+ years of experience in leading people and coordinating with different IT and business groups
Bachelor’s Degree OR High School Diploma/GED with 5 years of mainframe experience
5+ years of Mainframe Developer experience
5+ years of experience in each area with Cobol, CICS, VSAM and DB2
Experience in CICS dump reading
Experience with tools like abend-aid, TMON, Xpediter, etc.
2+ years of experience in Operations and Maintenance preferably using ITIL methodology
Must be willing to be on-call depending on business need 24x7x365"
"OIM Engineer - Columbia, MD - 226139",""
"Oracle Database Administrator - Columbia, MD - 226140",""
"IT Systems Analyst - Schaumburg, IL - 653719","Bachelor's Degree or equivalent work experience
3+ years of experience in Systems Analysis or IT Development
3+ years of experience in all phases of Software Development Life Cycle (SDLC) / System Development Life Cycle
3+ years of experience translating business requirements into a detailed system specification
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
3+ years of Relational Database experience
Call Center experience"
"Hadoop Developer - Operations Support - US Telecommute - 656977",""
"Integration QA Test Lead - Santa Ana, CA - 661540","Undergraduate degree
8 or more years of demonstrated Software Quality Assurance expertise as part of large and complex systems integration programs
5+ years of experience testing health plan administration systems
Knowledge of testing in a COTS environment (Facets preferred)
Experience integrating healthcare eligibility, provider, member, claims and clinical systems
Experience testing complex solutions in support of large Government / Enterprise systems using healthcare interoperability standards: HIPAA EDI X12, HL7Hands on experience with test management tools such as HP ALM
Previous experience in having driven test automation
In-depth knowledge of system development lifecycle (SDLC) phases and standard artifacts
Experience with industry best practice methodologies such as Waterfall and Agile
Proven ability to lead global testing teams in a matrixed environment through all applicable testing phases
High degree of professional confidence and credibility with the presence and communication skills to represent IT-related concepts effectively with IT, business and client stakeholders
Ability to effectively communicate test strategies, plans and results
Willingness to travel up to 50%"
"Senior Applications Developer - Phoenix, AZ - 659693",""
"Automation Test Engineer - Columbia, MD - 226135",""
"IT Systems Analyst - Boston. MA - 661773","5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
Experience with two or more of the following:
Working with APIs and web services
Experience mapping data from web services or database to user interface
Experience creating XML, XSD and/or JSON files
Experience with EDI files
Data modeling experience
Experience working as a developer
Experience working with REST methodology
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
5+ years of Relational Database experience"
"Software Engineer Consultant - Basking Ridge, NJ - 657212","Undergraduate degree in applicable area of expertise or equivalent experience
10+ years of experience developing and implementing Java J2SE/EE applications in a production system.
5+ years of experience in providing customized Java design and development of an enterprise Identity and Access Management (IAM) system (siteminder etc)
Has experience in prototyping and implementation of commercial or open source software products in support of a Java development or application server environment.
Has experience on Cloud Development PaaS, SaaS etc.
Knowledge of Openshift Enterprise / AWS is desirable
In depth analytical understanding of Java Application and JVM"
"Test Engineer - Columbia, SC - 226143",""
"OAM Engineer - Columbia, MD - 226138",""
"NLP Engineer - San Diego, CA - 656172","Experience with Lex/Yacc, ANTLR or other parser generator frameworks
Experience with Drools
Experience with XML and XSLT
Experience with SQL
Multilingual with Portuguese and Spanish"
"Sr. QA Engineer - Raleigh, NC - 653574","Bachelor's degree in a technical field, OR 4+ years software testing or programming experience
5+ years of QA experience
Excellent analytical and problem solving skills; ability to research and resolve technical problems
Solid knowledge of software development life cycle; extensive experience in quality assurance processes, methodologies, and best practices
Experience using scripting languages or programming languages, and developing test automation frameworks using open source or commercial tools
Experience testing web applications, especially automated testing
Working knowledge of web technologies: JavaScript, XML, Web Services, SOAP
Experience with VM-ware, Unix, Oracle, and Jboss application server
Experience working with various defect management tools including Rally
Excellent follow-through skills; highly motivated, self-driven and detail-oriented"
"Quality Assurance Analyst - Columbia, MD - 226141",""
"IT Systems Analyst - Eden Prairie, MN - 659207","Bachelor's Degree or equivalent work experience
3+ years of experience in Systems Analysis or IT Development
3+ years of experience in all phases of Software Development Life Cycle System
3+ years of experience translating business requirements into a detailed system specification
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
3+ years of Relational Database experience"
"Java Applications Developer - Hartford, CT - 662016","BS Degree
1+ years of software development experience
Hands-on experience with Java EE or spring framework
Experience with automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design"
"Sr IT Project Cnslt - Optum Technology - PPRM - Eden Prairie, MN - 656246",""
"Senior Software Engineer - Eden Prairie, MN - 659542","4+ years Java/J2EE software development experience with Spring framework and ORM technologies (like Hibernate, JPA, or similar)
Strong background on the automated unit testing technologies (Such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design
2+ years of experience with Agile Methodologies and Test Driven development
Experience with XML/JSON and developing SOAP and REST services using Apache CXF or a comparable framework
Experience with RabbitMQ/WMQ Java Messaging
Solid exposure to NoSQL and Hadoop
Demonstrated success in building design patterns and software engineering best practices
Relevant Bachelor's degree or equivalent work experience in a related field"
"Healthcare Software Implementation Specialist - Eden Prairie, MN - 661676","3+ years of experience implementing software in a healthcare setting
3+ years working with health information system software products
1+ years claims processing in the Healthcare Industry
Experience with use of remote collaboration tool"
"Dev Ops Engineer - Eden Praire, MN or Basking Ridge, NJ - 659269","Bachelor’s degree
Agile certification
Healthcare experience
Development experience
Quality Assurance experience
Infrastructure experience
Operations experience
Experience in Product Architecture
Experience in Service Oriented Architecture (SOA)
Experience in Acceptance Test Driven Development (ATDD)
Experience in Scripted environments
Experience in Configuration as code
Experience in Database change automation
Experience in Real-time automated metrics and reporting"
"Sr IT Project Cnslt - Optum Technology - PPRM - Eden Prairie, MN - 657064","4+ years proven track record of leading enterprise scale, complex IT projects/programs successfully
4 years or more of experience with the SDLC
Relevant bachelor's degree or equivalent experience"
"Associate Business Systems Analyst - Multiple Locations - 651860","High School Diploma/GED
2+ years of experience working in Healthcare or Workers’ Compensation related field
Strong Business Process and Systems Process experience
Microsoft Suite experience Word, Excel including creating basic formulas, basic VLOOKUP, and pivot tables"
"Technology Support Analyst - Golden Valley, MN - 660766","Experience assisting customers through alternate intake channels (phone and nonverbal channels like: live chat, email, social media and web form submissions)
Experience working with a knowledge base or knowledge tool
Experience using and supporting IP Phone Systems
Experience troubleshooting remote access tools (VPN) and general connectivity (LAN/WAN) issues by phone
Experience with supporting Microsoft Office Suite (including Outlook) and handheld devices
Experience with supporting MAC hard and software
Exposure to or knowledge of ITIL practices
Typing speed of 50+ WPM"
