"results_title","results_qualification"
"RN Nurse Trainer","Qualifications
Skills & Qualifications
Must be a Registered Nurse with an unrestricted Texas License, BSN or other nursing or health or education related degree preferred
Prior experience conducting clinical training especially for clinical assessments and other clinical topics for at least two years
Prior experience in Medicaid or Medicare a plus
Excellent public speaking and communication skills and written skills
Strong organizational and time management skills
Must Have strong computer skills using MS office products including Word, PowerPoint, Excel, and Outlook
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Scrum Master-Project Management Sr. Specialist","Qualifications
• Bachelor's Degree in Computer Science, Information Technology, Business Administration, Project Management or other related field or equivalent work experience.
• 2 years of direct experience leading agile teams as a scrum master
• 5-8 years of experience in information technology
• Strong problem-solving and critical-thinking skills with the ability to execute with limited information and ambiguity.
• Constant focus on what is possible and helping others to see the opportunity in the midst of challenge
• Strong communications skills. Ability to communicate across a diverse set of resources. Comfort delivering difficult messages in a fact based approach.
• Demonstrated experience facilitating agile delivery with globally distributed virtual teams
• Demonstrated ability to navigate a highly-matrixed organization effectively.
• Moderate to Advanced Microsoft Office suite skill level.
Highly Desirable:
• Relative certifications: SAFe Agilist (SA) Certification, SAFe Practitioner (SP), Certified Scrum Master (CSM), and/or Project Management Professional (PMP)
• 2+ years of direct experience leading agile teams as a scrum master, or release train engineer
• Influencing skills (sound business and technical acumen as well as skilled at achieving buy-in or delivery strategies)
Nice to Have:
• Working knowledge of Rally software
• Working knowledge of Clarity PPM
• Adept at negotiating; able to resolve conflict and adapt to different approaches using a variety of tactics
• Ability to be highly effective in a rapidly-changing business and technology environment
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Software Configuration Architect-Systems Analyst Sr. Specialist","Qualifications
• Bachelor's degree in IT related field preferred
• Excellent problem solving and critical thinking skills
• 7+ years of insurance industry experience on IT or Business Operations
• 3+ years of BPM or related experience required
• 3+ years of 3rd party software or service supplier management required
• Previous group insurance or related industry experience a plus
• Previous experience with one or more of the following software packages/vendors a plus: FINEOS, Insurix, InsPro, LeavePro
• Sound business and technical acumen
• Excellent presentation and communication skills with strong ability to clearly articulate and influence stakeholders
• Assertive, responsible for his/her own work, has a strong affinity for defining deliverables, and willing to commit to deadlines
• Ability to navigate a highly matrixed organization effectively; versatile team player that is comfortable under pressure
• Results-oriented, diligent and works with a sense of urgency
• Ability to influence and negotiate with key constituents
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Application Development Manager-Integrated Release Management","Qualifications
• Prior portfolio or release management experience preferred
Bachelor's degree in IT related field required or equivalent work experience
• 5+ years in IT project management, release management or application delivery role required
• Advanced knowledge of various software development methodologies (waterfall, agile, JAD)
• Solid understanding of project management principles within an SDLC
• Demonstrated ability to coordinate cross-functional work teams toward task completion
• Demonstrated effective leadership, negotiation, and critical-thinking skills
• Assertive, responsible for his/her own work (self-directed), have a strong affinity for defining work in deliverables, and be willing to drive for continuous improvement
• Advanced written and verbal communication skills are a must
• Ability to identify and implement required actions quickly in order to accomplish goals, eliminate roadblocks, and create focus
• Ability to communicate at all levels with clarity, poise, maturity and precision both written and verbally
• Ability to navigate matrixed organizations effectively and develop partnerships with software vendors
• Results-oriented, diligent and works with a sense of urgency
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Big Data Software Developer - Any U.S. Location","Qualifications
- Computer Science Degree or equivalent practical experience with Applied Mathematics, Natural Language Understanding, Computer Vision, Algorithmic Optimization, or Machine Intelligence (Artificial Intelligence)
- Programming experience in one or more of the following:
-Scala (18+ months of it being your primary language)
-Scripting:i.e Python + Compiled: i.e Java, language with 18+ months working in both
-SAS DS2 Hadoop connectivity/accelerator with Hadoop technologies such as Hive, Impala
- Ability to design and execute on acceptance criteria & success metrics in an Agile development process
- Strong analytical and coding skills
- Excellent communication skills
- Comfortable in configuring and using multiple operating systems (Mac/Windows/*nix
- Deep knowledge of Internet technologies
- Familiar with other Big Data technologies like Teradata, Kafka, & Spark
- Knowledge and/or experience with Health care information domains a plus.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Project Manager-IT Operational Readiness","Qualifications
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com.
• Bachelor's degree in IT related field required or equivalent work experience
• Prior experience in Operational Readiness, Production Services or Definition of SOP models is preferred
• 5+ years in IT project management or delivery management role required
• Excellent presentation and communication skills with strong ability to be effective in negotiation and influential leadership
• Assertive, responsible for his/her own work (self-directed), has a strong affinity for defining deliverables, and willing to commit to deadlines
• Ability to identify and implement required actions quickly in order to accomplish goals, eliminate roadblocks, and create focus
• Sound business and technical acumen
• Enthusiastic advocate for change
• Ability to navigate a highly matrixed organization effectively
• Focused and versatile team player that is comfortable under pressure
• Ability to communicate at all levels with clarity and precision both written and verbally
• Excellent problem-solving and critical-thinking skills
• Demonstrated experience working on large integrated programs
• Results-oriented, diligent and works with a sense of urgency"
"Database Engineer (App Development Sr Specialist) QualCare","Qualifications
Requirements include:
• Bachelor's degree in Computer Science or Software Engineering.
• Seven (+) years’ experience in full life-cycle database development projects using SQL Server 2008/2012
• Strong SQL Server Integration Services (SSIS) for ETL development working with VLDBs
• Solid T-SQL programming for performance and reliability
• Solid understanding of database fundamentals with strong problem solving skills
• Strong performance tuning skills for complex queries, procedure and indexing strategies.
• Experience in designing and implementing complex logical and physical Data Models.
• Strong knowledge of implementation of SQL Server best practices.
• Build database tools and scripts to automate repetitive tasks.
• Ability to adapt quickly to an existing, complex and high pressure environment.
• Ability to take ownership of projects and be self-directed
• Ability to quickly learn new concepts and software is necessary.
• Candidate should be a self-motivated, independent, detail oriented, responsible team-player and exhibit exceptional relationship management skills.
• Possess some scripting experience on Microsoft technologies to be able to quickly prototype solutions.
• Possess attention to detail in work and have some testing methodologies to bring testing rigor in daily data related analysis and development work.
Preferred experience:
• Experience with EDW, DM and ODS
• Experience in database administration, configuration and development
• Experience with report writing tools
• Healthcare experience a plus
• Microsoft certifications are a plus.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"BizTalk Developer (App Development Sr Specialist) QualCare","Qualifications
Six (+) years’ experience as a developer
•Three (+) years’ experience with BIZTALK 2010.
•Three (+) years working with SQL Server 2008.
•Experience with EDI Transactions
•Ability to design and optimize SQL Server 2008 stored procedures.
•Solid understanding of object-oriented programming (OOP).
•Deep knowledge of the .NET 3.5/4.0 Framework, including Visual Studio 2010, C#, VB.NET,
•Strong knowledge of software implementation best practices.
•Strong experience designing and working with n-tier architectures (UI, Business Logic Layer, Data Access Layer) along with some experience with service-oriented architectures (SOA).
•Ability to adapt quickly to an existing, complex environment.
•Ability to quickly learn new concepts and software as necessary.
•Candidate should be a self-motivated, independent, detail oriented, responsible team-player and exhibit exceptional relationship management skills.
Education:
•Bachelor's degree in Computer Science or Software Engineering.
•Microsoft certifications are a plus.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Business Analyst (Business Analysis Specialist) QualCare","Qualifications
Requirements include: Bachelor’s degree ; 3+ year of experience in writing business and/or system requirements; 3+ years of experience with documenting processes and practices, often in accepted project methodology artifacts, while effectively prioritizing multiple tasks, priorities, projects, and deadlines; Healthcare Industry experience; Proficiency with MS Office (Including Word, Excel, Outlook, PowerPoint, Access) ; Proficiency with MS Visio
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Project Management Specialist-Release Management","Qualifications
Bachelor’s degree in Computer Science or related discipline or equivalent work experience
4-6 years of previous work experience as a project team member of which at least one year was in a leadership position
Understanding of team leadership, business practices and their application to effective project management.
Strong analytical, communication and technical skills.
Able to foster working relationships with the team and client departments
Microsoft Office Suite (Word, Excel, PowerPoint)
Clarity
H P Service Manager
SharePoint
Strong Communication Skills
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Systems Analyst - Any US Cigna Office Location","Qualifications
-6+ years of progressive hands-on experience with data analysis in an DB2 and/or Oracle, Data Warehouse environment
-Experience with High volume, high transaction Data Warehousing Systems
-Experience in Healthcare insurance highly valued
-Must have working SQL knowledge
-Must have experience in data profiling
-Strong analytical and problem solving skills
-Experience in QA/testing
-Excellent oral and written communication skills - able to clearly convey complex blends of business and technical matters to a range of audiences; ability to articulate points clearly as well as concisely
-Experience interpreting business requirements, recognizing impact on business processes, and making recommendations
-Experience liaising with global business customer groups to drive consensus on approach for program level activities
-Experience working with globally diverse teams
-Strong Office Suite experience: Visio, Word, PowerPoint and Excel
-Ability to influence technical discussions and decisions
-Strong work ethic and sense of urgency
-Tested ability to handle multiple tasks with mixed priorities and deliver final analysis in a timely manner
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"App Development Manager","Qualifications
Several years software development experience or high performer
Several years resource management
Proven track record of successfully owning and managing application assets and associated development work
Defines and owns the application development strategy and roadmap specific to Core Operations and Claim assets
Leads, manages and motivates a delivery team comprised of full-time employees and onshore/nearshore/offshore consultants
Implements the organizational, process and technology changes needed to meet business needs and integrate with enterprise assets
Develops resource and infrastructure capacity models and implements changes required to support corporate growth and increased demand on the Claim and Distributed platforms
Collaborates with the Architecture team in creating and evolving designs; capable of reviewing and improving the designs of others
Interfaces with other systems to receive or pass data
Accountable for design, development, unit testing and system/integration/user acceptance test support
Accountable for planning and coordinating PVS testing
Analyzes PVS results and drives performance improvements through code changes and tuning
Collaborates with interfacing teams to ensure PMHS and Distributed application deliverables support design and delivery objectives and meets business/customer needs
Reviews and approves design documents, standards and procedures
Provides career development, coaching, mentoring and performance management for the PMHS and Distributed Application delivery team
Drives a customer-centric view of Core Operations technology functionality; seeks to understand the practical application of deliverables and ensures solutions maintain relevance for the end-user community
Excellent negotiation and vendor management skills
Interacts with IT and Business Management, Enterprise Architecture, external vendors, Infrastructure Solutions Group (ISG), and other upstream and downstream stakeholders
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Application Development Manager","Qualifications
8 or more years of diverse work experience in IT, including a minimum of 5-6 years of experience in application development
Proven experience as Technical Lead in developing solutions architecture and design, and in leading and managing a team in the construction and deployment of the software
Experience delivering core line of business application layer development
Experience delivering middleware layer development from infancy to maturity, including scaling or replacing legacy solutions
Exemplifies teamwork and serves as role model. Ability to successfully facilitate collaboration across multiple functions, departments and levels. Unquestionable ethics & integrity.
Strong oral and written communication skills.
Desired Qualifications:
Insurance industry experience, including sales/underwriting, enrollment, claim administration, policy administration
Experience working in similar size company (30K employees)
Experience operating in a matrix IT organization and managing on-shore, off-shore and/or near shore resources.
Experience with Waterfall, Agile and hybrid delivery of all layers of the SDLC
Expertise in delivering high level, and detailed delivery status to all layers of the organization
Technical Skills/Understanding:
Capable Microsoft technology developer to include delivery capability, leadership and mentoring of .Net solution development.
MS SQL Server developer and administrator background
Familiarity with Cobol desired
Java, Linux and open sourced application development and leadership experience desired
Mid-range, enterprise and distributed architecture
Experience in Document Management and Workflow applications desired but not required
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Infrastructure Engineer Manager - PowerShell Exchange Lync","Qualifications
Bachelor degree or higher strongly preferred in computer science or a related discipline, and at least 10 years of experience in all aspects of computer operations or an equivalent combination of education and work experience. Strong judgment and management skills and considerable aptitude in human relations are expected.
Relevant Microsoft or other technical certifications are a plus.
Problem solving; ITIL Service Operations processes; ability to work independently and as part of a team; strong customer service and customer support skills with the ability to communicate difficult technical concepts clearly to a variety of individuals of varying technical expertise and understanding.
Experience and extensive knowledge working with numerous Microsoft technologies such as Exchange, Lync and Active Directory as well as BlackBerry, iOS, Symantec Enterprise Vault and other similar technologies. Microsoft PowerShell scripting experience is required. Experience in Microsoft Systems Center Operations Manager or similar a plus.
10 or more years of experience in 24/7 global multi-site environments with over 10,000 users, including experience in the architecture, design, and implementation of new messaging and mobility based solutions. Demonstrated excellent problem solving, problem management, and root cause analysis skills.
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
"Systems Analysis Specialist-Software Configuration/Process Design","Qualifications
• Bachelor's degree in IT related field preferred
• Excellent problem solving and critical thinking skills
• 2+ years of IT experience in development like role, JAVA knowledge is a plus
• 1+ years of BPM, Workflow, Software Configuration or related experience required
• Previous group insurance or related industry experience a plus
• Previous experience with one or more of the following software packages/vendors a plus: FINEOS, Insurix, InsPro, LeavePro
• Sound business and technical acumen
• Excellent presentation and communication skills with strong ability to clearly articulate and influence stakeholders
• Assertive, responsible for his/her own work, has a strong affinity for defining deliverables, and willing to commit to deadlines
• Ability to navigate a highly matrixed organization effectively; versatile team player that is comfortable under pressure
• Results-oriented, diligent and works with a sense of urgency
• Ability to influence and negotiate with key constituents
US Candidates Only: Qualified applicants will be considered for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, disability, veteran status. If you require a special accommodation, please visit our Careers website or contact us at SeeYourself@cigna.com."
